 시간,피아구분,부대id,부대명,,x좌표,y좌표,탐지거리,탐지여부,전투력,상황
8,1,,ROK_SQUAD,,310.4,165.6,0,2,0,적 보안요소 파괴 후 남동쪽으로 기동
8,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,적 보안요소 파괴 후 남동쪽으로 기동
8,1,,ROK_LEADER,,355.2,110.1,0,2,100,적 보안요소 파괴 후 남동쪽으로 기동
9,0,,KPA_PLATOON1,,46,223.5,0,0,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_PLATOON2,,218.2,108.4,130,0,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_LEADER,,95.2,194.9,0,0,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_SQUAD,,220.8,155.9,0,0,50,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_SECTION,,250.3,170.3,0,0,75,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,0,,KPA_SECTION2,,420,165.8,130,0,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,1,,ROK_SQUAD,,310.4,165.6,0,2,0,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
9,1,,ROK_LEADER,,355.2,110.1,0,2,100,적 소대를 고정하고 격리하기 위해 박격포 사격 개시
10,0,,KPA_PLATOON1,,46,223.5,0,0,100,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_PLATOON2,,230.2,90.4,130,0,100,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_LEADER,,95.2,194.9,0,0,100,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_SQUAD,,225.8,130.9,0,0,50,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_SECTION,,246.3,140.3,0,0,75,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,0,,KPA_SECTION2,,410.1,145.3,130,0,100,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,1,,ROK_SQUAD,,310.4,165.6,0,2,0,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
10,1,,ROK_LEADER,,355.2,110.1,0,2,25,고정 및 무력화된 적 부대를 보안요소가 감시하며 할당된 진격 축을 따라 기동
11,0,,KPA_PLATOON1,,60,206.5,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_PLATOON2,,250.1,72.2,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_LEADER,,107.2,175.4,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_SQUAD,,210.4,120.4,0,0,50,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_SECTION,,230.3,125.3,0,0,75,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,0,,KPA_SECTION2,,423.1,138.3,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
11,1,,ROK_LEADER,,355.2,110.1,0,2,25,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_PLATOON1,,90,188.5,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_PLATOON2,,260.2,54.4,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_LEADER,,135.2,165.9,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_SQUAD,,220.8,92.9,0,0,50,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_SECTION,,234.3,100.3,0,0,75,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,0,,KPA_SECTION2,,433.1,117.3,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
12,1,,ROK_LEADER,,355.2,110.1,0,2,25,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_PLATOON1,,100.4,170.2,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_PLATOON2,,275,37.4,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_LEADER,,158.2,145.9,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_SQUAD,,218.8,70.9,0,0,50,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_SECTION,,240.3,85.3,0,0,75,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,0,,KPA_SECTION2,,460.1,102.3,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
13,1,,ROK_LEADER,,355.2,110.1,0,2,25,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_PLATOON1,,110,150.5,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_PLATOON2,,290.2,32.4,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_LEADER,,165.2,130.9,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_SQUAD,,230.8,55.2,0,0,50,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_SECTION,,230.3,75.3,0,0,75,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,0,,KPA_SECTION2,,460.1,102.3,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
14,1,,ROK_LEADER,,355.2,110.1,0,2,25,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_PLATOON1,,120,130.5,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_PLATOON2,,295.2,22.4,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_LEADER,,184.2,120.9,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_SQUAD,,243.8,50.9,0,0,50,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_SECTION,,250.3,68.3,0,0,75,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,0,,KPA_SECTION2,,460.1,102.3,130,0,100,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
15,1,,ROK_LEADER,,355.2,110.1,0,2,25,CDET 모든 요소가 교전지역을 우회할 때까지 적을 감시하고 나머지 요소는 교전지역을 우회하며 남동쪽으로 기동
