 시간,피아구분,부대명,x좌표,y좌표,탐지거리,탐지여부,무장장비,탄약수량,전투력,주요상황
6,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
6,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
6,0,KPA_SQUAD,235.8,192.9,0,0,소총,200,100,ROK_SQUAD와 ROK_SQUAD2 공격
6,0,KPA_SECTION,263.3,212.3,0,0,소총,200,100,ROK_SQUAD와 ROK_SQUAD2 공격
6,0,KPA_SECTION2,420,165.8,130,0,소총,200,100,ROK_SQUAD 측면 공격
6,1,ROK_SQUAD,310.4,165.6,0,2,소총,200,100,KPA_SQUAD와 KPA_SECTION 공격
6,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,100,
6,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,
7,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
7,0,KPA_PLATOON2,162.2,101.4,130,0,소총,200,100,
7,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
7,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
7,0,KPA_SQUAD,235.8,192.9,0,0,소총,55,50,적군 공격으로 전투력 감소
7,0,KPA_SECTION,263.3,212.3,0,0,소총,73,75,적군 공격으로 전투력 감소
7,0,KPA_SECTION2,420,165.8,130,0,소총,116,100,
7,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,적군 공격으로 파괴
7,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,적군 공격으로 파괴
7,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,
8,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
8,0,KPA_PLATOON2,190.2,110.4,130,0,소총,200,100,
8,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
8,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
8,0,KPA_SQUAD,228.8,168.9,0,0,소총,55,50,기동
8,0,KPA_SECTION,263.3,185,0,0,소총,73,75,기동
8,0,KPA_SECTION2,420,165.8,130,0,소총,116,100,기동
8,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
8,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
8,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,
9,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
9,0,KPA_PLATOON2,218.2,108.4,130,0,소총,200,100,
9,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
9,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
9,0,KPA_SQUAD,220.8,155.9,0,0,소총,55,50,기동
9,0,KPA_SECTION,250.3,170.3,0,0,소총,73,75,기동
9,0,KPA_SECTION2,420,165.8,130,0,소총,116,100,기동
9,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
9,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
9,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,
10,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
10,0,KPA_PLATOON2,230.2,90.4,130,0,소총,200,100,기동
10,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
10,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,ROK_LEADER 근방에 박격포 사격
10,0,KPA_SQUAD,225.8,130.9,0,0,소총,55,50,기동
10,0,KPA_SECTION,246.3,140.3,0,0,소총,73,75,기동
10,0,KPA_SECTION2,410.1,145.3,130,0,소총,116,100,기동
10,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
10,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
10,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,박격포 사격으로 무력화 상태
11,0,KPA_PLATOON1,60,206.5,0,0,소총,200,100,기동
11,0,KPA_PLATOON2,250.1,72.2,130,0,소총,200,100,기동
11,0,KPA_LEADER,107.2,175.4,0,0,소총,200,100,기동
11,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,
11,0,KPA_SQUAD,210.4,120.4,0,0,소총,55,50,기동
11,0,KPA_SECTION,230.3,125.3,0,0,소총,73,75,기동
11,0,KPA_SECTION2,423.1,138.3,130,0,소총,116,100,기동
11,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
11,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
11,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,
12,0,KPA_PLATOON1,90,188.5,0,0,소총,200,100,기동
12,0,KPA_PLATOON2,260.2,54.4,130,0,소총,200,100,기동
12,0,KPA_LEADER,135.2,165.9,0,0,소총,200,100,기동
12,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,
12,0,KPA_SQUAD,220.8,92.9,0,0,소총,55,50,기동
12,0,KPA_SECTION,234.3,100.3,0,0,소총,73,75,기동
12,0,KPA_SECTION2,433.1,117.3,130,0,소총,116,100,기동
12,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
12,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
12,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,
13,0,KPA_PLATOON1,100.4,170.2,0,0,소총,200,100,기동
13,0,KPA_PLATOON2,275,37.4,130,0,소총,200,100,기동
13,0,KPA_LEADER,158.2,145.9,0,0,소총,200,100,기동
13,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,
13,0,KPA_SQUAD,218.8,70.9,0,0,소총,55,50,기동
13,0,KPA_SECTION,240.3,85.3,0,0,소총,73,75,기동
13,0,KPA_SECTION2,460.1,102.3,130,0,소총,116,100,기동
13,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
13,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
13,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,
14,0,KPA_PLATOON1,110,150.5,0,0,소총,200,100,기동
14,0,KPA_PLATOON2,290.2,32.4,130,0,소총,200,100,기동
14,0,KPA_LEADER,165.2,130.9,0,0,소총,200,100,기동
14,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,
14,0,KPA_SQUAD,230.8,55.2,0,0,소총,55,50,기동
14,0,KPA_SECTION,230.3,75.3,0,0,소총,73,75,기동
14,0,KPA_SECTION2,460.1,102.3,130,0,소총,116,100,
14,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
14,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
14,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,
15,0,KPA_PLATOON1,120,130.5,0,0,소총,200,100,기동
15,0,KPA_PLATOON2,295.2,22.4,130,0,소총,200,100,기동
15,0,KPA_LEADER,184.2,120.9,0,0,소총,200,100,기동
15,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,24,100,
15,0,KPA_SQUAD,243.8,50.9,0,0,소총,55,50,기동
15,0,KPA_SECTION,250.3,68.3,0,0,소총,73,75,기동
15,0,KPA_SECTION2,460.1,102.3,130,0,소총,116,100,
15,1,ROK_SQUAD,310.4,165.6,0,2,소총,32,0,
15,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,0,
15,1,ROK_LEADER,355.2,110.1,0,2,소총,200,25,
