시간,유닛 고유번호,유닛 이름,제대,위도,경도,인원,보유장비,인원 대비 전투력 가용률(명),장비 가용률(%),탄약 보급량(%),연료 보급량(%),사기 점수(0~100),임무현황
4,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
4,kpa_003,KPA_SECURITY2,소대,162.2,101.4,1500,소총,1500,100,100,80,100,move
4,kpa_004,KPA_SUPPORT,분대원,197.8,181.9,60,소총,60,100,100,100,100,prepare
4,kpa_005,KPA_SUPPORT2,분대,242.3,230.3,300,소총,300,100,100,90,100,move
4,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
4,kpa_007,KPA_BACKUP,소대,,,1500,소총,1500,100,100,100,100,prepare
5,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
5,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
5,kpa_003,KPA_SECURITY2,소대,162.2,101.4,1500,소총,1500,100,100,80,100,prepare
5,kpa_004,KPA_SUPPORT,분대원,235.8,192.9,60,소총,60,100,100,95,100,move
5,kpa_005,KPA_SUPPORT2,분대,263.3,212.3,300,소총,300,100,100,88,100,move
5,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
5,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
6,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
6,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
6,kpa_003,KPA_SECURITY2,소대,162.2,101.4,1500,소총,1500,100,90,80,100,attack
6,kpa_004,KPA_SUPPORT,분대원,235.8,192.9,60,소총,48,100,68,95,96,attack
6,kpa_005,KPA_SUPPORT2,분대,263.3,212.3,300,소총,274,100,82,88,98,attack
6,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
6,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
7,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
7,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
7,kpa_003,KPA_SECURITY2,소대,162.2,101.4,1500,소총,1500,100,84,80,100,attack
7,kpa_004,KPA_SUPPORT,분대원,235.8,192.9,60,소총,30,100,25,95,90,attack
7,kpa_005,KPA_SUPPORT2,분대,263.3,212.3,300,소총,226,100,47,88,95,attack
7,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
7,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
8,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
8,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
8,kpa_003,KPA_SECURITY2,소대,190.2,110.4,1500,소총,1500,100,84,75,100,move
8,kpa_004,KPA_SUPPORT,분대원,228.8,168.9,60,소총,30,100,25,90,90,move
8,kpa_005,KPA_SUPPORT2,분대,263.3,185,300,소총,226,100,47,83,95,move
8,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
8,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
9,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
9,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,prepare
9,kpa_003,KPA_SECURITY2,소대,218.2,108.4,1500,소총,1500,100,84,70,100,move
9,kpa_004,KPA_SUPPORT,분대원,220.8,155.9,60,소총,30,100,25,85,90,move
9,kpa_005,KPA_SUPPORT2,분대,250.3,170.3,300,소총,226,100,47,78,95,move
9,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
9,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
10,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
10,kpa_002,KPA_SECURITY,분대,410.1,145.3,300,소총,300,100,100,80,100,move
10,kpa_003,KPA_SECURITY2,소대,230.2,90.4,1500,소총,1500,100,84,65,100,move
10,kpa_004,KPA_SUPPORT,분대원,225.8,130.9,60,소총,30,100,25,80,90,move
10,kpa_005,KPA_SUPPORT2,분대,246.3,140.3,300,소총,226,100,47,73,95,move
10,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
10,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
11,kpa_001,KPA_LEADER,중대,107.2,175.4,7000,소총,7000,100,100,95,100,move
11,kpa_002,KPA_SECURITY,분대,423.1,138.3,300,소총,300,100,100,75,100,move
11,kpa_003,KPA_SECURITY2,소대,250.1,72.2,1500,소총,1500,100,84,60,100,move
11,kpa_004,KPA_SUPPORT,분대원,210.4,120.4,60,소총,30,100,25,75,90,move
11,kpa_005,KPA_SUPPORT2,분대,230.3,125.3,300,소총,226,100,47,68,95,move
11,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
11,kpa_007,KPA_BACKUP,소대,60,206.5,1500,소총,1500,100,100,95,100,move
12,kpa_001,KPA_LEADER,중대,135.2,165.9,7000,소총,7000,100,100,90,100,move
12,kpa_002,KPA_SECURITY,분대,433.1,117.3,300,소총,300,100,100,70,100,move
12,kpa_003,KPA_SECURITY2,소대,260.2,54.4,1500,소총,1500,100,84,55,100,move
12,kpa_004,KPA_SUPPORT,분대원,220.8,92.9,60,소총,30,100,25,70,90,move
12,kpa_005,KPA_SUPPORT2,분대,234.3,100.3,300,소총,226,100,47,63,95,move
12,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
12,kpa_007,KPA_BACKUP,소대,90,188.5,1500,소총,1500,100,100,90,100,move
13,kpa_001,KPA_LEADER,중대,158.2,145.9,7000,소총,7000,100,100,85,100,move
13,kpa_002,KPA_SECURITY,분대,460.1,102.3,300,소총,300,100,100,65,100,move
13,kpa_003,KPA_SECURITY2,소대,275,37.4,1500,소총,1500,100,84,50,100,move
13,kpa_004,KPA_SUPPORT,분대원,218.8,70.9,60,소총,30,100,25,65,90,move
13,kpa_005,KPA_SUPPORT2,분대,240.3,85.3,300,소총,226,100,47,58,95,move
13,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
13,kpa_007,KPA_BACKUP,소대,100.4,170.2,1500,소총,1500,100,100,85,100,move
14,kpa_001,KPA_LEADER,중대,165.2,130.9,7000,소총,7000,100,100,80,100,move
14,kpa_002,KPA_SECURITY,분대,460.1,102.3,300,소총,300,100,100,60,100,prepare
14,kpa_003,KPA_SECURITY2,소대,290.2,32.4,1500,소총,1500,100,84,45,100,move
14,kpa_004,KPA_SUPPORT,분대원,230.8,55.2,60,소총,30,100,25,60,90,move
14,kpa_005,KPA_SUPPORT2,분대,230.3,75.3,300,소총,226,100,47,53,95,move
14,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
14,kpa_007,KPA_BACKUP,소대,110,150.5,1500,소총,1500,100,100,80,100,move
15,kpa_001,KPA_LEADER,중대,184.2,120.9,7000,소총,7000,100,100,75,100,move
15,kpa_002,KPA_SECURITY,분대,460.1,102.3,300,소총,300,100,100,55,100,prepare
15,kpa_003,KPA_SECURITY2,소대,295.2,22.4,1500,소총,1500,100,84,40,100,move
15,kpa_004,KPA_SUPPORT,분대원,243.8,50.9,60,소총,30,100,25,55,90,move
15,kpa_005,KPA_SUPPORT2,분대,250.3,68.3,300,소총,226,100,47,48,95,move
15,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,70,100,100,prepare
15,kpa_007,KPA_BACKUP,소대,120,130.5,1500,소총,1500,100,100,75,100,move
