시간,유닛고유번호,유닛이름,제대,위도,경도,인원,보유장비,전투가용인원,장비가용률,탄약보급량,연료보급량,사기점수,임무현황
5,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
5,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,95,100,100,attack
5,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,95,100,100,attack
5,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
5,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
5,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
5,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
5,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
6,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
6,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
6,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,95,100,100,prepare
6,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,95,100,100,prepare
6,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
6,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,95,100,100,prepare
6,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,95,100,100,prepare
6,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
6,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
6,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
6,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
6,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
7,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
7,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
7,kpa_003,KPA_MECHANIZED3,소대,376,555,24,기관포,24,100,95,95,100,move
7,kpa_004,KPA_MECHANIZED4,소대,524,580,24,기관포,24,100,95,95,100,move
7,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
7,kpa_006,KPA_MECHANIZED6,소대,1022,549,24,기관포,24,100,95,95,100,move
7,kpa_007,KPA_MECHANIZED7,소대,1279,561,24,기관포,24,100,95,95,100,move
7,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
7,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
7,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
7,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
7,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
8,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
8,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
8,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,95,90,100,move
8,kpa_004,KPA_MECHANIZED4,소대,590,566,24,기관포,24,100,95,90,100,move
8,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
8,kpa_006,KPA_MECHANIZED6,소대,1036,485,24,기관포,24,100,95,90,100,move
8,kpa_007,KPA_MECHANIZED7,소대,1309,505,24,기관포,24,100,95,90,100,move
8,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
8,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
8,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
8,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
8,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
9,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
9,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
9,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,95,90,100,prepare
9,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,95,85,100,move
9,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
9,kpa_006,KPA_MECHANIZED6,소대,1064,394,24,기관포,24,100,95,85,100,move
9,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,move
9,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
9,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
9,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
9,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
9,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
10,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
10,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
10,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,attack
10,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,attack
10,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,attack
10,kpa_006,KPA_MECHANIZED6,소대,1064,394,24,기관포,24,100,95,85,100,prepare
10,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
10,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
10,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
10,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
10,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
10,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
11,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
11,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
11,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
11,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
11,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
11,kpa_006,KPA_MECHANIZED6,소대,1064,394,24,기관포,24,100,95,85,100,prepare
11,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
11,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
11,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
11,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
11,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
11,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
12,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
12,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
12,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
12,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
12,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
12,kpa_006,KPA_MECHANIZED6,소대,1064,394,24,기관포,24,100,95,85,100,prepare
12,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
12,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
12,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
12,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
12,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
12,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
13,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
13,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
13,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
13,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
13,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
13,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,95,80,100,move
13,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
13,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
13,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
13,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
13,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
13,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
14,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,85,100,100,attack
14,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,attack
14,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
14,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
14,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
14,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,80,80,100,attack
14,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
14,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
14,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
14,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
14,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,attack
14,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,attack
15,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,85,100,100,prepare
15,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,prepare
15,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
15,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
15,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
15,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,80,80,100,prepare
15,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
15,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
15,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
15,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
15,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,prepare
15,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,prepare
16,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,75,100,100,attack
16,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,prepare
16,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
16,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
16,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
16,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,80,80,100,prepare
16,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,95,85,100,prepare
16,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
16,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
16,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
16,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,prepare
16,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,prepare
17,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,65,100,100,attack
17,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,prepare
17,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
17,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
17,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
17,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,65,80,100,attack
17,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,80,85,100,attack
17,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,85,100,100,attack
17,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,85,100,100,attack
17,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
17,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,prepare
17,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,prepare
18,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,55,100,100,attack
18,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,prepare
18,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
18,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
18,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
18,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,55,80,100,attack
18,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,70,85,100,attack
18,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,75,100,100,attack
18,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,75,100,100,attack
18,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
18,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,prepare
18,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,prepare
19,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,55,100,100,prepare
19,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,85,100,100,prepare
19,kpa_003,KPA_MECHANIZED3,소대,418,493,24,기관포,24,100,80,90,100,prepare
19,kpa_004,KPA_MECHANIZED4,소대,655,525,24,기관포,24,100,80,85,100,prepare
19,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,85,100,100,prepare
19,kpa_006,KPA_MECHANIZED6,소대,1103,325,24,기관포,24,100,55,80,100,prepare
19,kpa_007,KPA_MECHANIZED7,소대,1265,441,24,기관포,24,100,70,85,100,prepare
19,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,75,100,100,prepare
19,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,75,100,100,prepare
19,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
19,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,85,100,100,prepare
19,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,85,100,100,prepare
