시간,적부대식별,유닛이름,추정위도,추정경도,추정규모,최근활동,위협도,정보신뢰도,정보출처
15,rok_003,ROK_MECHANIZED3,1156,269,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
16,rok_001,ROK_MECHANIZED1,542,274,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
16,rok_002,ROK_MECHANIZED2,1136,461,중대,기동으로 추정,3,90,KPA_M_ARTILLERY1
16,rok_003,ROK_MECHANIZED3,1134,320,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
17,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
17,rok_002,ROK_MECHANIZED2,1169,536,중대,기동으로 추정,4,90,KPA_M_ARTILLERY1
17,rok_003,ROK_MECHANIZED3,1125,384,대대,기동으로 추정,2,90,KPA_M_ARTILLERY1
18,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
18,rok_002,ROK_MECHANIZED2,1222,612,중대,기동으로 추정,4,90,KPA_M_ARTILLERY1
18,rok_003,ROK_MECHANIZED3,1142,456,대대,기동으로 추정,3,90,KPA_M_ARTILLERY1
19,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
19,rok_002,ROK_MECHANIZED2,1235,706,중대,기동으로 추정,5,90,KPA_M_ARTILLERY1
19,rok_003,ROK_MECHANIZED3,1172,515,대대,기동으로 추정,4,90,KPA_M_ARTILLERY1
20,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
20,rok_002,ROK_MECHANIZED2,1235,706,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
20,rok_003,ROK_MECHANIZED3,1172,515,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
21,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
21,rok_002,ROK_MECHANIZED2,1235,706,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
21,rok_003,ROK_MECHANIZED3,1172,515,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
22,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
22,rok_002,ROK_MECHANIZED2,1235,706,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
22,rok_003,ROK_MECHANIZED3,1172,515,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
23,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
23,rok_002,ROK_MECHANIZED2,1235,706,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
23,rok_003,ROK_MECHANIZED3,1172,515,대대,피해입음 추정,2,90,KPA_M_ARTILLERY1
24,rok_001,ROK_MECHANIZED1,542,274,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
24,rok_002,ROK_MECHANIZED2,1235,706,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
24,rok_003,ROK_MECHANIZED3,1172,515,대대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
